run,ID_Viro,IDSeq_ID
ARTIC1,39679,
ARTIC1,39699,
ARTIC1,39760,
ARTIC234,00985-21,
ARTIC234,01585-21,
ARTIC234,01586-21,
ARTIC234,01768-21,
ARTIC234,01770-21,
ARTIC234,02011-21,
ARTIC234,02258-21,
ARTIC234,35178-20,
ARTIC234,35866-20,
ARTIC234,38324-20,
ARTIC234,00787-21,
ARTIC5,02186-21,
ARTIC5,02189-21,
ARTIC5,02194-21,
ARTIC5,03201-21,
ARTIC5,03202-21,
ARTIC5,03387-21,
